,speaker,line
0,Michael,All right Jim. Your quarterlies look very good. How are things at the library?
1,Jim,"Oh, I told you. I couldn't close it. So..."
2,Michael,"So you've come to the master for guidance? Is this what you're saying, grasshopper?"
3,Jim,"Actually, you called me in here, but yeah."
4,Michael,"All right. Well, let me show you how it's done."
5,Michael," Yes, I'd like to speak to your office manager, please. Yes, hello. This is Michael Scott. I am the Regional Manager of Dunder Mifflin Paper Products. Just wanted to talk to you manager-a-manger.  All right. Done deal. Thank you very much, sir. You're a gentleman and a scholar. Oh, I'm sorry. OK. I'm sorry. My mistake.  That was a woman I was talking to, so... She had a very low voice. Probably a smoker, so...  So that's the way it's done."
6,Michael,"I've, uh, I've been at Dunder Mifflin for 12 years, the last four as Regional Manager. If you want to come through here... See we have the entire floor. So this is my kingdom, as far as the eye can see. This is our receptionist, Pam. Pam! Pam-Pam! Pam Beesly. Pam has been with us for... forever. Right, Pam?"
7,Pam,Well. I don't know.
8,Michael,"If you think she's cute now, you should have seen her a couple of years ago. "
9,Pam,"Uh, yeah. Just a fax."
10,Michael,"Oh! Pam, this is from Corporate. How many times have I told you? There's a special filing cabinet for things from corporate."
11,Pam,You haven't told me.
12,Michael,It's called the wastepaper basket! Look at that! Look at that face.
13,Michael,"People say I am the best boss. They go, ""God we've never worked in a place like this before. You're hilarious."" ""And you get the best out of us.""  I think that pretty much sums it up. I found it at Spencer Gifts."
14,Dwight, Shall I play for you? Pa rum pump um pum  I have no gifts for you. Pa rum pump um pum 
15,Jim,"My job is to speak to clients on the phone about... uh, quantities and type of copier paper. You know, whether we can supply it to them. Whether they can pay for it. And... I'm boring myself just talking about this."
16,Jim,Whassup! I still love that after seven years.
17,Michael,OK. All right. See you later.
18,Jim,All right. Take care.
19,Michael,"Corporate really doesn't really interfere with me at all. Jan Levinson Gould.  Jan, hello. I call her Hillary Rodham Clinton. Right? Not to her face, because... well, not because I'm scared of her. Because I'm not. But, um... Yeah."
20,Michael,Um... Me no get an agenda.
21,Michael,I didn't get any agenda.
22,Michael,Really? I didn't...  Did we get a fax this morning?
23,Pam,"Uh, yeah, the one..."
24,Michael,"Why isn't it in my hand? A company runs on efficiency of communication, right? So what's the problem, Pam? Why didn't I get it?"
25,Pam,You put in the garbage can that was a special filing cabinet.
26,Michael,"Yeah, that was a joke. That was a joke that was actually my brother's, and... It was supposed to be with bills and it doesn't work great with faxes."
27,Michael,"Yeah, yeah. Lovely. Thank you."
28,Michael,"No, no, no, no, this is good. This is good. This is fine. Excellent."
29,Michael,All the alarm bells are kind of going... ringie-dingie-ding!
30,Michael,"Me no wanna hear that, Jan. Because downsizing is a bitch. It is a real bitch. And I wouldn't wish that on Josh's men. I certainly wouldn't wish it on my men. Or women, present company excluded. Sorry. Uh, is Josh concerned about downsizing himself? Not downsizing himself but is he concerned about downsizing?"
31,Michael,"Question. How long do we have to...  Oh uh, Todd Packer, terrific rep. Do you mind if I take it?"
32,Michael,"Oh, that's not appropriate."
33,Michael,"Uh, I don't know what you mean."
34,Michael,"Oh, my God! Oh! That's... horrifying. Horrible. Horrible person."
35,Michael,"No, absolutely. Under this regime, it will not leave this office.  Like that."
36,Pam,I have an important question for you.
37,Pam,Are you going to Angela's cat party on Sunday?
38,Jim,"Yeah, stop. That is ridiculous."
39,Michael,"Am I going to tell them? No, I am not going to tell them. I don't see the point of that. As a doctor, you would not tell a patient if they had cancer."
40,Pam,This is Mr. Scott.
41,Michael,Guilty! Guilty as charged!
42,Michael,"Howard, like Moe Howard. Three Stooges."
43,Michael,"Watch this. This is Moe. Nyuck-nyuck-nyuck-nyuck-nyuck. Mee!  Ah, right here. Three Stooges. Oh, Pam. It's a guy thing, Pam. I'm sort of a student of comedy. Watch this. Here we go.  I'm Hitler. Adolf Hitler. "
44,Pam,"I don't think it would be the worst thing if they let me go because then I might... I don't think it's many little girls' dream to be a receptionist. I like to do illustrations. Um... Mostly watercolor. A few oil pencil. Um, Jim thinks they're good."
45,Pam,Dunder Mifflin. This is Pam.
46,Jim,"Sure. Mr. Davis, let me call you right back. Yeah, something just came up. Two minutes. Thank you very much. Dwight, what are you doing?"
47,Jim,What are you doing?
48,Dwight,Just clearing my desk. I can't concentrate.
49,Jim,It's not on your desk.
50,Dwight,"It's overlapping. It's all spilling over the edge. One word, two syllables. Demarcation."
51,Dwight,You can't do that.
52,Dwight,Safety violation. I could fall and pierce an organ.
53,Jim, We'll see.  This is why the whole downsizing thing just doesn't bother me.
54,Dwight,"Downsizing? I have no problem with that. I have been recommending downsizing since I first got here. I even brought it up in my interview. I say, bring it on."
55,Pam,You just still have these messages from yesterday.
56,Michael,"Relax. Everything's under control. Uh, yeah. Yeah. That's important. Right. Oh this is so important, I should run to answer it. "
57,Michael,"Come on. Six-Million Dollar Man! Steve Austin! Actually, that would be a good salary for me, don't you think? Six million dollars? Memo to Jan. I deserve a raise."
58,Michael,"If you're unhappy with your compensation, maybe you should take it up with HR. OK. Not today, OK? Pam, just be professional. "
59,Michael,"I think I'm a role model here. I think I garner people's respect.  Attention all Dunder Mifflin employees, please. We have a meeting in the conference room, ASAP."
60,Michael,"People I respect, heroes of mine, would be Bob Hope... Abraham Lincoln, definitely. Bono. And probably God would be the fourth one. And I just think all those people really helped the world in so many ways that it's really beyond words. It's really incalculable."
61,Michael,Now I know there's some rumors out there and I just kind of want to set the record straight.
62,Dwight,I'm Assistant Regional Manager. I should know first.
63,Michael,Assistant to the Regional Manager.
64,Dwight,"OK, um, can you just tell me please? Just tell me quietly. Can you whisper it in my ear?"
65,Michael,I'm about to tell everybody. I'm just about to tell everybody.
66,Dwight,"Please, OK? Do you want me to tell 'em?"
67,Michael,You don't know what it is. 
68,Dwight,OK. You tell 'em. With my permission. Permission granted.
69,Michael,I don't need your permission.
70,Michael,Corporate has deemed it appropriate to enforce an ultimatum upon me. And Jan is thinking about downsizing either the Stamford branch or this branch.
71,Michael,"It won't be out of my hands Stanley, OK. I promise you that."
72,Dwight,On his mother's grave.
73,Michael,"Well, yeah, it is a promise. And frankly, I'm a little insulted that you have to keep asking about it."
74,Michael,"I know. Hold on a second. I think Pam wanted to say something. Pam, you had a look that you wanted to ask a question just then."
75,Pam,I was in the meeting with Jan and she did say that it could be this branch that gets the axe.
76,Michael,"Well, Pam maybe you should stick to the ongoing confidentiality agreement of meetings."
77,Dwight,"Pam, information is power."
78,Michael,"No, Stanley. No, you did not see me in there with her. I said if Corporate wants to come in here and interfere, then they're gonna have to go through me. Right? You can go mess with Josh's people, but I'm the head of this family, and you ain't gonna be messing with my chillin."
79,Jim,"If I left, what would I do with all this useless information in my head? You know? Tonnage price of manila folders? Um, Pam's favorite flavor of yogurt, which is mixed berry."
80,Pam,"Jim said mixed berries? Well, yeah, he's on to me. Um... "
81,Michael,"Watch out for this guy. Dwight Schrute in the building. This is Ryan, the new temp."
82,Michael,Introduce yourself. Be polite.
83,Dwight,"Dwight Schrute, Assistant Regional Manager."
84,Michael,"Assistant to the Regional Manager. So, uh, Dwight tell him about the kung fu and the car and everything."
85,Dwight,"Uh... yeah I got a '78 280Z. Bought it for $1,200. Fixed it up. It's now worth three grand."
86,Dwight,"New engine, new suspension, I got a respray. I've got some photos."
87,Michael,"OK. Hold on, hold on. The judge is in session. What is the problem here?"
88,Dwight,He put my stuff in Jell-O again.
89,Dwight,That's real professional thanks. That's the third time and it wasn't funny the first two times either Jim.
90,Dwight,"It's OK here, but people sometimes take advantage because it's so relaxed. I'm a volunteer Sheriff's Deputy on the weekends. And you cannot screw around there. That's sort of one of the rules."
91,Dwight,That is my stapler.
92,Michael,"No, no, no. Do not take it out. You have to eat it out of there, because there are starving people in the world  which I hate, and it is a waste of that kind of food."
93,Dwight,"OK you know what, you can be a witness.  Can you reprimand him?"
94,Jim,How do you know it was me?
95,Dwight,It's always you. Are you going to discipline him or not?
96,Michael,"Discipline. Kinky!  All right, here's the deal you guys. The thing about a practical joke is you have to know when to start and as well as when to stop."
97,Michael,"And yeah, Jim this is the time to stop putting Dwight's personal effects into Jell-O."
98,Jim,"OK. Dwight, I'm sorry, because I have always been your biggest flan."
99,Michael, Nice. That's the way it is around here. It just kind of goes round and round.
100,Michael,Hey! Yes! New guy! He scores.
101,Dwight,"OK, that's great. I guess what I'm most concerned with is damage to company property. That's all."
102,Michael,Pudding. Pudding... I'm trying to think of another dessert to do.
103,Jim,Do you like going out at the end of the week for a drink?
104,Jim,That's why we're all going out. So we can have an end-of-the-week-drink.
105,Pam,So when are we going out?
106,Pam,Roy's my fiance. We've been engaged about three years. We were supposed to get married in September but I think we're gonna get married in the spring.
107,Pam,Do you mind if I go out for a drink with these guys?
108,Pam,OK. I'm gonna be a few minutes. So it's only twenty past five. I still have to do my faxes.
109,Jim,You know what? You should come with us. Because you know we're all going out and it could be a good chance for you to see what people are like outside the office. I think it could be fun.
110,Jim,Um... What's in the bag?
111,Jim,"No, definitely. All right, dude. Awesome. Will do."
112,Jim,Do I think I'll be invited to the wedding? 
113,Michael,"So have you felt the vibe yet? We work hard, we play hard. Sometimes we play hard when we should be working hard. Right? I guess the atmosphere that I've created here is that I'm a friend first, and a boss second... and probably an entertainer third.  Just a second. Right? Oh, hey do you like The Jamie Kennedy Experiment? Punk'd and all that kind of stuff?"
114,Michael,"You are gonna be my accomplice. Just go along with it, OK?"
115,Michael,"Just follow my lead. Don't pimp me, all right? Come in. So, uh, Corporate just said that I don't want to..."
116,Pam,You got a fax.
117,Michael,"Oh, thank you. Pam, can you come in here for a sec. Just have a seat. I was gonna call you in anyway. You know Ryan. As you know, there is going to be downsizing. And you have made my life so much easier in that I am going to have to let you go first."
118,Michael,"Why? Well, theft and stealing."
119,Pam,Stealing? What am I supposed to have stolen?
120,Pam,"Post-it Notes? What are those worth, 50 cents?"
121,Michael,"50 cents, yeah. If you steal a thousand Post-It Notes at 50 cents apiece, and you know, you've made a profit... margin. You're gonna run us out of business, Pam."
122,Pam,I can't believe this. I mean I have never even stolen as much as a paperclip and you're firing me.
123,Michael,But the best thing about it is that we're not going to have to give you any severance pay. Because that is gross misconduct and... Just clean out your desk. I'm sorry.
124,Michael," You been X'd punk!  Surprise! It's a joke. We were joking around. See? OK. He was in on it. He was my accomplice. And it was kind of a morale booster thing. And we were showing the new guy around, giving him the feel of the place. So you... God, we totally got you."
125,Michael,I don't know about that.
